ActionGeo_ADM1Code,ActionGeo_CountryCode,ActionGeo_FeatureID,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Type,Actor1Code,Actor1CountryCode,Actor1EthnicCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_CountryCode,Actor1Geo_FullName,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_Type,Actor1KnownGroupCode,Actor1Name,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2CountryCode,Actor2EthnicCode,Actor2Geo_ADM1Code,Actor2Geo_CountryCode,Actor2Geo_FeatureID,Actor2Geo_FullName,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_Type,Actor2KnownGroupCode,Actor2Name,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,AvgTone,DATEADDED,EventBaseCode,EventCode,EventRootCode,FractionDate,GLOBALEVENTID,GoldsteinScale,IsRootEvent,MonthYear,NumArticles,NumMentions,NumSources,QuadClass,SOURCEURL,SQLDATE,Year,index
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IDN,IDN,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,JAKARTA,,,,,,IDNCOP,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,COP,,,-6.85483871,20180908,43,43,4,2018.6795,785454760,2.8,1,201809,2,2,1,1,http://www.thejakartapost.com/news/2018/09/08/disgraced-umrah-agency-reports-clients-for-abuse-theft.html,20180908,2018,1183
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,GOV,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,GOVERNMENT,,,GOV,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,-8.226636084,20180906,173,173,17,2018.674,784922725,-5,1,201809,16,16,8,4,https://www.voanews.com/a/indonesia-independent-corruption-fighters-intensify-their-war/4559990.html,20180906,2018,1239
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IDN,IDN,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,JAKARTA,,,,,,IDNCOP,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,COP,,,-7.630522088,20180824,10,10,1,2018.6411,781650317,0,1,201808,4,4,1,1,http://www.thejakartapost.com/news/2018/08/24/man-named-suspect-in-road-assault-involving-teenager.html,20180824,2018,1341
ID00,ID,-2694169,"Riau, Indonesia (general), Indonesia",-1.71667,105.933,4,PTY,,,ID00,-1.71667,ID,"Riau, Indonesia (general), Indonesia",105.933,-2694169,4,,POLITICIAN,,,,,,IDN,IDN,,ID00,ID,-2694169,"Riau, Indonesia (general), Indonesia",-1.71667,105.933,4,,INDONESIA,,,,,,-4.811715481,20180824,51,51,5,2017.6411,781802985,3.4,0,201708,2,2,1,1,https://www.plenglish.com/index.php?o=rn&id=32807&SEO=indonesian-social-affairs-minister-resigns-due-to-corruption-scandal,20170824,2017,1355
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,COP,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,POLICE,,,COP,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIAN,,,,,,-4.87804878,20180823,180,180,18,2018.6384,781515354,-9,1,201808,3,3,1,4,http://en.tempo.co/read/news/2018/08/23/057921055/Assault-on-Jagorawi-Toll-Road-Police-Not-TNI-Member,20180823,2018,1363
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,GOV,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,,MINIST OF HOME AFFAIRS,,,GOV,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,JAKARTA,,,,,,-7.894736842,20180817,84,84,8,2018.6219,780027914,7,1,201808,9,9,1,2,http://www.en.netralnews.com/news/currentnews/read/23496/minister.of.home.affairs.corruption.in.indonesia.is.acute,20180817,2018,1464
ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,IGOUNO,,,ID04,-6.17444,ID,"Jakarta, Jakarta Raya, Indonesia",106.829,-2679652,4,UNO,UN GENERAL ASSEMBLY,,,IGO,,,IDN,IDN,,ID04,ID,-2679652,"Jakarta, Jakarta Raya, Indonesia",-6.17444,106.829,4,,INDONESIA,,,,,,1.01010101,20180815,100,100,10,2018.6164,779507227,-5,1,201808,10,10,1,3,https://www.ukrinform.net/rubric-polytics/2518083-dzhemilev-calls-on-indonesia-to-coauthor-un-general-assembly-resolution-on-crimea.html,20180815,2018,1622
ID10,ID,-2703546,"Yogyakarta, Yogyakarta, Indonesia",-7.78278,110.361,4,EDU,,,ID10,-7.78278,ID,"Yogyakarta, Yogyakarta, Indonesia",110.361,-2703546,4,,SCHOOL,,,EDU,,,IDN,IDN,,ID10,ID,-2703546,"Yogyakarta, Yogyakarta, Indonesia",-7.78278,110.361,4,,INDONESIA,,,,,,0.590260698,20180815,43,43,4,2018.6164,779535116,2.8,1,201808,8,8,1,1,https://www.devex.com/news/the-woman-who-put-gender-based-violence-data-on-the-map-93266,20180815,2018,1623
ID18,ID,10685584,"Luwu, Nusa Tenggara Timur, Indonesia",-8.4828,120.461,4,COP,,,ID18,-8.4828,ID,"Luwu, Nusa Tenggara Timur, Indonesia",120.461,10685584,4,,NATIONAL POLICE,,,COP,,,IDN,IDN,,ID18,ID,10685584,"Luwu, Nusa Tenggara Timur, Indonesia",-8.4828,120.461,4,,INDONESIA,,,,,,-15.94202899,20180814,173,173,17,2018.5945,779164672,-5,1,201808,8,8,1,4,http://www.thejakartapost.com/news/2018/08/14/island-focus-four-suspected-poso-terrorists-arrested.html,20180807,2018,1641
ID18,ID,10685584,"Luwu, Nusa Tenggara Timur, Indonesia",-8.4828,120.461,4,COP,,,ID18,-8.4828,ID,"Luwu, Nusa Tenggara Timur, Indonesia",120.461,10685584,4,,NATIONAL POLICE,,,COP,,,IDN,IDN,,ID18,ID,10685584,"Luwu, Nusa Tenggara Timur, Indonesia",-8.4828,120.461,4,,INDONESIA,,,,,,-8.455882353,20180813,173,173,17,2018.5918,778935858,-5,1,201808,8,8,1,4,http://www.thejakartapost.com/news/2018/08/13/four-suspected-poso-terrorists-arrested-in-south-sulawesi.html,20180806,2018,1700
